,category,news_link,news
10,political,https://en.setopati.com/political/161331,"
The Kathmandu Metropolitan City (KMC) has given a 24-hour ultimatum for removal of the temporary structures within erstwhile Lalita Niwas.
“A team of KMC Police went there today. A 24-hour ultimatum has been issued to remove all temporary structures there,” Surendra Bajgai, Press Facilitator of KMC Mayor Balen Shah, told Setopati.
A team led by KMC Police Chief Raju Pandey earlier reached Baluwatar to put wire fencing around the plots that have been encroached as part of the Baluwatar land grab.
The team is currently putting wire fencing around the land.
The Central Investigation Bureau (CIB) of Nepal Police on Tuesday arrested seven persons including promoter of Bhatbhateni Min Bahadur Gurung and former election commissioner Sudheer Kumar Shah in connection with the Baluwatar land grab.
Along with Gurung and Shah, Kaladhar Deuja, the then chief of the Land Revenue Office, Dilli Bazaar, and LRO employees Dharma Prasad Gautam, Surendra Man Kapali, Gopal Karki, and Hupendra Mani KC were also arrested on Tuesday.
Shah served as election commissioner from February 16, 2017, to April 11, 2019.
Police said that the CIB had been investigating the case and arrested the seven after collecting further evidence against them.
The CIB had submitted its report to the District Government Attorney’s Office (DGAO), Kathmandu, in December 2021 after completing its investigation into the case. But the DGAO had returned the report instructing the CIB to carry out further investigation.
The government had formed a probe committee under former secretary Sharada Prasad Trital following complaints that government land at Baluwatar has been transferred to some individuals. The committee had submitted the report to the government in December 2018 concluding that the land transferred to individuals belonged to the government.
The committee stated that the then king Mahendra after the coup in 1951 had confiscated 14 ropanis land of Nepali Congress leader Suvarna Shumsher Rana and his son Kanchan Shumsher in Baluwatar.
The government four years later acquired 285 ropanis of Rana's land in Baluwatar by paying compensation. The prime minister's residence, chief justice's residence, speaker's residence and the central office of Nepal Rastra Bank are currently situated in 172 ropanis out of the 285 ropanis.
Land mafia in connivance with staffers at the Land Revenue Office has transferred ownership of the remaining 113 ropanis of land to different individuals, the committee has concluded.
CPN-UML leader and former finance minister Bishnu Paudel was also dragged into the controversy as eight annas out of the 113 ropanis has been transferred in the name of his son Navin.
But Paudel and Supreme Court (SC) Justice Kumar Regmi have not been charged in the scam after they agreed to return the land in the name of Paudel's son Navin and Regmi respectively.
""It does not seem necessary to make them defendants as they have agreed to return the land plots inside Lalita Niwas to the Nepal Government in their statement to the investigation officer and the application filed with the CIAA,"" the CIAA charge sheet stated.
Regmi has claimed that he received the land for handling a case while working as advocate while Paudel has claimed that he bought the land.
"
11,political,https://en.setopati.com/political/161330,"
Prime Minister Pushpa Kamal Dahal and Janamat Party Chairman CK Raut have held talks on Janamat Party's participation in the government.
According to Haribol Gajurel, the prime minister’s chief political advisor, Dahal and Raut discussed bringing Janamat Party on board the government during the meeting held at Baluwatar on Sunday morning.
“The prime minister is willing to bring [Janamat Party] on board the government, they are also willing to join the government. The discussion has been positive,” Gajurel told Setopati. “But there’s no space left. The prime minister is still in discussion on how to make room [for Janamat Party].”
Gajurel said that the ruling coalition will meet and take a necessary decision on the issue.
Janamat Party had quit the Dahal-led government expressing dissatisfaction over the sharing of ministries.
The party did not vote in favor of passing the budget on Friday even though it has continued its support to the government.
"
12,political,https://en.setopati.com/political/161329,"
Nepali Congress (NC) will convene meeting of district presidents on Wednesday.
Acting Chief Secretary of the grand old party Pradeep Parajuli told Setopati that the meeting would be held at the central office in Sanepa to discuss different issues including organizational works.
NC General Secretary Gagan Thapa said that preparations were on to invite the district presidents to the central office on Wednesday. “Distribution of active membership has been started. Works about distribution of new membership also continues. Discussion will be held with district presidents about membership and other issues,” Thapa stated.
He revealed that district presidents could now print membership cards in the respective districts and distribute the same.
NC has already made arrangements allowing online acquisition of party membership paying a fee of Rs 20.
"
13,political,https://en.setopati.com/political/161328,"
The Kathmandu Metropolitan City (KMC) will fence the land of erstwhile Lalita Niwas to protect public land.
The KMC is sending a team led by KMC Police Chief Raju Pandey to put wire fencing around the plots that have been encroached as part of the Baluwatar land grab.
The Central Investigation Bureau (CIB) of Nepal Police on Tuesday arrested seven persons including promoter of Bhatbhateni Min Bahadur Gurung and former election commissioner Sudheer Kumar Shah in connection with the Baluwatar land grab.
Along with Gurung and Shah, Kaladhar Deuja, the then chief of the Land Revenue Office, Dilli Bazaar, and LRO employees Dharma Prasad Gautam, Surendra Man Kapali, Gopal Karki, and Hupendra Mani KC were also arrested on Tuesday.
Shah served as election commissioner from February 16, 2017, to April 11, 2019.
Police said that the CIB had been investigating the case and arrested the seven after collecting further evidence against them.
The CIB had submitted its report to the District Government Attorney’s Office (DGAO), Kathmandu, in December 2021 after completing its investigation into the case. But the DGAO had returned the report instructing the CIB to carry out further investigation.
The government had formed a probe committee under former secretary Sharada Prasad Trital following complaints that government land at Baluwatar has been transferred to some individuals. The committee had submitted the report to the government in December 2018 concluding that the land transferred to individuals belonged to the government.
The committee stated that the then king Mahendra after the coup in 1951 had confiscated 14 ropanis land of Nepali Congress leader Suvarna Shumsher Rana and his son Kanchan Shumsher in Baluwatar.
The government four years later acquired 285 ropanis of Rana's land in Baluwatar by paying compensation. The prime minister's residence, chief justice's residence, speaker's residence and the central office of Nepal Rastra Bank are currently situated in 172 ropanis out of the 285 ropanis.
Land mafia in connivance with staffers at the Land Revenue Office has transferred ownership of the remaining 113 ropanis of land to different individuals, the committee has concluded.
CPN-UML leader and former finance minister Bishnu Paudel was also dragged into the controversy as eight annas out of the 113 ropanis has been transferred in the name of his son Navin.
But Paudel and Supreme Court (SC) Justice Kumar Regmi have not been charged in the scam after they agreed to return the land in the name of Paudel's son Navin and Regmi respectively.
""It does not seem necessary to make them defendants as they have agreed to return the land plots inside Lalita Niwas to the Nepal Government in their statement to the investigation officer and the application filed with the CIAA,"" the CIAA charge sheet stated.
Regmi has claimed that he received the land for handling a case while working as advocate while Paudel has claimed that he bought the land.
"
14,political,https://en.setopati.com/political/161324,"
The former federal lawmaker from Parsa-3 and promoter of Pappu Construction Hari Narayan Rauniyar has been arrested.
The Metropolitan Police Baneshwore Circle has arrested Rauniyar from Baneshwore in connection to a fraud case against him lodged with the Banke Police, according to Nepal Police Spokesperson DIG Kuber Kadayat.
The Federal Parliament Secretariat had suspended the then Federal Socialist Forum Nepal lawmaker Rauniyar after the Commission for Investigation of Abuse of Authority (CIAA) lodged a corruption case against the former chairman of controversial Pappu Construction in October 2018.
The CIAA had lodged the corruption case against Rauniyar, his son Sumit Rauniyar and others at the Special Court after its investigation on complaints--that the company used substandard materials in construction of the bridge over Babai river in Bardiya, the bridge looked tilted right from the time of construction and was destroyed immediately after inauguration--found them guilty.
"
15,political,https://en.setopati.com/political/161321,"
Chief Minister (CM) of Koshi Hikmat Karki has failed floor test by one vote on Friday.
The only CPN-UML CM in the country could secure only 46 votes in the provincial assembly that has 93 lawmakers. Forty-three lawmakers voted against CM Karki in the floor test with the only Janata Samajwadi Party (JSP) lawmaker Nirmala Limbu abstaining from voting.
Forty UML lawmakers and six lawmakers from coalition partner RPP voted in support of the Karki government. Nepali Congress (NC), CPN (Maoist Center) and Unified Socialist voted against the government.
UML has now been limited to the opposition bench in all seven provinces in the country after Karki failed in his efforts to add one vote needed to get the magic number of 47.
Karki had left the provincial assembly late Thursday afternoon after it became clear that he could not pass the floor test in the third session of the provincial assembly that started on Thursday. The provincial assembly meeting, that was adjourned for half an hour at 5:20 Thursday evening, was postponed for Friday at 9:30 in the night without convening again.
"
16,political,https://en.setopati.com/political/161318,"
Nepali Congress (NC) General Secretary Gagan Thapa is planning a nationwide campaign to listen to the common people and party cadres.
He will remain outside the Kathmandu Valley for 33 consecutive days starting in September, and start the second stage of his campaign after the Tihar festival.
Thapa will not deliver any public speech throughout the campaign and listen to the people at the grassroots. “We put our opinion while going outside Kathmandu now and don’t get to talk with the people,” Thapa has told Setopati. “Those of us who go from Kathmandu give speech from the dais as if we know everything, and then return. We don’t even know about the people’s problems as we don’t talk with them. I feel we miss many things due to this attitude.”
Thapa has said that he will mainly look for answers to questions related to why the party leaders and cadres are rattled and disappointed, and why the general public are also similarly disappointed and angry.
“Congress became the largest party at the center, and provincial and local levels. There should have been a festive and celebratory mood in the leaders and cadres. But that is not so,” he has pointed. “There is rage inside and outside the party. Why is that happening? I want to gather knowledge after talking with people. I am going for public dialogue campaign for that.”
He has planned to visit places in 35 districts of the mountains, hills and Madhes plains in the first stage. He will visit the other districts after Tihar.  
He will not give any public speech during the campaign and no party committee will organize formal programs during his campaign. “There was hope in the people that tomorrow would be better at the time of armed conflict, king’s direct rule, earthquake, and the COVID-19 pandemic. Why is that hope disappearing now? I will look for answers to such questions,” he has revealed. “I want to meet people who are not associated with the party structures and try to understand how they are looking at me. Where did Congress err? Why are the people angry? Why is hope disappearing?”
He has added that he will talk with people of all age groups and return to Kathmandu only after finding answers to such questions. “I will have some grounds for debate when I return after talking with the people. I will discuss about that inside the party. I will start the public dialogue campaign after holding discussion even with my colleagues.”
"
17,political,https://en.setopati.com/political/161315,"
The Supreme Court (SC) has revoked the writ petition filed demanding revocation of the post of lawmaker of Rastriya Swatantra Party (RSP) President Rabi Lamichhane.
The constitutional bench of five justices including Chief Justice (CJ) Hari Krishna Karki has revoked the petition.
Senior Advocate Sunil Pokharel has told Setopati that no case about Lamichhane’s citizenship remains in the court now and the only sub judice case is the writ petition filed against the Office of Attorney General (OAG) for not trying him over passport controversy.
Advocate Yuvaraj Paudel had registered the latest petition on May 24 pointing that Lamichhane did not submit evidence of relinquishing US citizenship while reacquiring Nepali citizenship.
Another writ petition had also been filed at the SC over Lamichhane’s citizenship controversy last year.
After the final hearing on the petition on January 27, the SC had ruled that Lamichhane was ineligible to become a lawmaker as he did not complete the process to re-acquire his citizenship certificate that became invalid after he acquired US citizenship. Lamichhane had resigned as deputy prime minister and home minister the same day.
He later reacquired Nepali citizenship and got reelected to the House of Representatives from Chitwan-2 in the recent by-election.
"
18,political,https://en.setopati.com/political/161311,"
The House of Representatives (HoR) on Wednesday has passed the budget on the basis of majority.
The budget presented for decision by Speaker Dev Raj Ghimire has been passed on the basis of majority without any amendment.
A total of 255 HoR members took part in the voting process with 147 voting in favor of passing the budget and 108 against.
Prime Minister (PM) Pushpa Kamal Dahal earlier answered questions raised by lawmakers about the budget.
Finance Minister Prakash Sharan Mahat on May 29 had presented a budget of Rs 1.751 trillion for the fiscal year 2080/81. It was Rs 1.793 trillion for the fiscal year 2079/80. Presenting the mid-term review report in the House of Representatives (HoR) on February 12 the then Finance Minister Bishnu Paudel had downsized the budget by Rs 244 billion (14 percent) to Rs 1.549 trillion.
Mahat has allocated Rs 1.141 trillion (65.20%) for recurrent expenditure, Rs 302.07 billion (17.25%) for capital expenditure, and Rs 307.45 billion (17.55%) for debt financing.
Similarly, Rs 408 billion has been allocated for transfer to the provinces and local bodies.
The budget plans to generate Rs 1.248 trillion through revenues, Rs 49.94 billion through foreign grant and generate the remaining amount of Rs 452.75 billion through foreign loans (Rs 212.65 billion) and domestic borrowing (Rs 240 billion).
"
19,political,https://en.setopati.com/political/161308,"
Prime Minister (PM) Pushpa Kamal Dahal has said that efforts are being made to erase the memoray of improvement in living standard of the people in the past 20 years.
“A new generation of voters has been ready in the country that did not have to suffer the cruelties of war, walk to the school and see the royal regime that shut down the internet and the telephone communication, and obstructed the airports and the streets,” Dahal has stated addressing the House of Representatives (HoR) meeting on Wednesday.
“The unrestrained generation n the social media also does not know about the history that the men in uniform entered the media houses and instructed the editors what to print and what to show. We don’t have any right to mislead that generation building a narrative as if there were rivers of milk in the past.”
He has also expressed concern that the people’s agendas are getting lost amidst cheap issues and asked whether that spreads disenchantment among the people. “Are our political character and face not getting weak due to our own behavior?”   
He has also listed achievements of his government claiming that textbooks for students of community schools were distributed across the country at the start of new academic session this year, and students no longer have to wait overnight in serpentine queues to get no objection certificates (NOC) to go abroad for further study pointing that NOC can now be obtained over the phone.
"
20,political,https://en.setopati.com/political/161307,"
Nepali Congress (NC) General Secretary Gagan Thapa has proposed to bar professors, teachers and students from NC membership.
Pointing that politicization has ravaged the education sector he has called for debate inside the party to ban professors, teachers and students from NC membership. He has stressed that situation was different when he was in student politics with the restrictions imposed by autocratic monarchy and the threat of Maoist insurgency, and the time demanded politics of resistance. He has added that students and teachers no longer need to join politics.
“Why make chairman of school management committee, campus chief and vice-chancellor Congress?” Thapa has asked while addressing a program in his constituency of Kathmandu-4. “The education sector has been ravaged after we also competed to make Congress when UML made organizations in different names. People are angry due to that.”
Thapa’s proposal, however, has not entered for formal discussion in the grand old party that has not convened central committee meeting in 11 months. “Why not debate about this in the party? Good professors can join politics after resignation if they so wish. We would then ask them to contest for ward chairman from our ward or mayor.”
He has also slammed the party’s student wing Nepal Student Union for thrashing and misbehaving with teachers and professors. “Can I smear soot on someone’s body merely because the person did not do what I said? Can I attack any person be it professor or others for not obeying my instruction or I don’t like the person?” he fumed. “There should not be any ifs and buts on this issue of smearing soot and thrashing professors. That is wrong.”  
"
21,social,https://en.setopati.com/social/161314,"
The Supreme Court (SC) has issued an interim order instructing the government to register marriage of sexual and gender minorities.
The single bench of Justice Til Prasad Shrestha hearing the writ petition filed by nine persons including transwoman Pinky Gurung (officially Rajeev Gurung) has issued the interim order on Wednesday instructing the government to make necessary arrangements to register marriage of the applicants and other similar persons in a way that temporary record of the marriage is kept.   
The Apex Court’s order has come in the LGBT Pride Month of June, 2023 dedicated to celebration and commemoration of lesbian, gay, bisexual, and transgender pride.
"
22,social,https://en.setopati.com/social/161314,"
The Supreme Court (SC) has issued an interim order instructing the government to register marriage of sexual and gender minorities.
The single bench of Justice Til Prasad Shrestha hearing the writ petition filed by nine persons including transwoman Pinky Gurung (officially Rajeev Gurung) has issued the interim order on Wednesday instructing the government to make necessary arrangements to register marriage of the applicants and other similar persons in a way that temporary record of the marriage is kept.   
The Apex Court’s order has come in the LGBT Pride Month of June, 2023 dedicated to celebration and commemoration of lesbian, gay, bisexual, and transgender pride.
"
